Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,55,23,23.2,3.3,7.7,0.43,0.5,1.4,0.333,2.9,6.3,0.451,0.46,1,1.8,0.57,2.2,4.7,6.9,1.1,0.5,0.6,1.1,2,8.2
2,Steven Adams,C,28,MEM,62,61,26.5,2.8,5.1,0.555,0,0,0,2.8,5.1,0.555,0.555,1.5,2.7,0.553,4.6,5.2,9.8,3.4,0.8,0.8,1.6,1.9,7.2
3,Bam Adebayo,C,24,MIA,40,40,33.3,7.2,13.5,0.534,0,0.1,0,7.2,13.4,0.539,0.534,4.4,5.9,0.743,2.6,7.7,10.3,3.6,1.5,0.8,2.7,3.2,18.9
4,Santi Aldama,PF,21,MEM,27,0,10.3,1.4,3.6,0.381,0.1,1.4,0.103,1.2,2.1,0.569,0.402,0.4,0.7,0.6,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1,3.3
5,LaMarcus Aldridge,C,36,BRK,45,12,22.8,5.6,10.1,0.554,0.3,1,0.311,5.3,9.1,0.58,0.569,2,2.3,0.873,1.6,4,5.6,0.9,0.3,1,0.9,1.6,13.5
6,Nickeil Alexander-Walker,SG,23,TOT,54,19,24.7,4.4,11.8,0.375,1.8,5.7,0.312,2.6,6.1,0.435,0.451,1.4,1.9,0.733,0.7,2.4,3.1,2.6,0.8,0.4,1.6,1.6,12
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8
6,Nickeil Alexander-Walker,SG,23,UTA,4,0,4.5,0.5,1.3,0.4,0.3,0.8,0.333,0.3,0.5,0.5,0.5,1,1,1,0.3,0.8,1,0.3,0,0,0.3,0.3,2.3
7,Grayson Allen,SG,26,MIL,54,53,27.7,3.9,9.1,0.431,2.4,6.2,0.394,1.5,2.9,0.51,0.565,1,1.2,0.857,0.5,2.9,3.3,1.5,0.8,0.3,0.6,1.5,11.3
8,Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1
9,Jose Alvarado,PG,23,NOP,36,1,12.9,1.9,4.5,0.426,0.6,1.8,0.318,1.3,2.7,0.5,0.491,0.6,0.8,0.741,0.3,1.1,1.4,2.1,1,0.1,0.6,1.4,5
10,Justin Anderson,SF,28,TOT,6,0,12.8,1,3.2,0.316,0.5,2.5,0.2,0.5,0.7,0.75,0.395,1,1.2,0.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
10,Justin Anderson,SF,28,CLE,3,0,15.7,1.3,2.7,0.5,0.7,2,0.333,0.7,0.7,1,0.625,1,1.3,0.75,0,2,2,2,0.3,0,0.7,1.3,4.3
10,Justin Anderson,SF,28,IND,3,0,10,0.7,3.7,0.182,0.3,3,0.111,0.3,0.7,0.5,0.227,1,1,1,0.7,0.7,1.3,1,0.3,0.3,0.3,1.7,2.7
11,Kyle Anderson,PF,28,MEM,53,8,21.7,3,6.8,0.434,0.5,1.6,0.329,2.4,5.2,0.466,0.472,0.9,1.5,0.617,1,4.3,5.4,2.7,1.2,0.6,1,1.6,7.4
12,Giannis Antetokounmpo,PF,27,MIL,54,54,32.8,10,18.4,0.544,1.1,3.8,0.296,8.9,14.6,0.608,0.574,8.2,11.3,0.722,2,9.6,11.6,6,1,1.4,3.3,3.2,29.2
13,Thanasis Antetokounmpo,SF,29,MIL,38,5,9.7,1.2,2.3,0.494,0,0.3,0.091,1.1,2.1,0.551,0.5,0.4,0.7,0.615,0.9,1.3,2.2,0.5,0.4,0.2,0.5,1.6,2.8
14,Carmelo Anthony,PF,37,LAL,55,3,26.7,4.7,10.5,0.445,2.3,5.9,0.391,2.4,4.6,0.514,0.555,2,2.4,0.833,0.9,3.3,4.2,1,0.8,0.8,0.9,2.3,13.6
15,Cole Anthony,PG,21,ORL,51,51,33,5.9,15,0.394,2.1,6.4,0.333,3.8,8.7,0.439,0.465,3.4,4,0.856,0.5,5.2,5.7,5.7,0.8,0.3,2.8,2.7,17.4
16,OG Anunoby,SF,24,TOR,42,42,36.7,6.6,15.1,0.436,2.4,6.8,0.351,4.2,8.3,0.506,0.515,1.9,2.5,0.748,1.6,3.9,5.5,2.6,1.5,0.6,1.8,3,17.5
17,Ryan Arcidiacono,PG,27,NYK,2,0,3.5,0.5,0.5,1,0.5,0.5,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5
18,Trevor Ariza,SF,36,LAL,22,10,18.9,1.3,3.7,0.341,0.9,3,0.303,0.4,0.7,0.5,0.463,0.4,0.7,0.533,0.3,3,3.2,1,0.5,0.2,0.5,0.9,3.8
19,D.J. Augustin,PG,34,TOT,36,2,15.3,1.6,4,0.403,1.2,2.9,0.408,0.4,1.1,0.39,0.549,0.9,1.1,0.868,0.2,1,1.2,2.3,0.4,0,1.3,0.5,5.3
19,D.J. Augustin,PG,34,HOU,34,2,15,1.6,4,0.404,1.1,2.8,0.406,0.5,1.2,0.4,0.548,1,1.1,0.868,0.2,1,1.2,2.2,0.3,0,1.3,0.5,5.4
19,D.J. Augustin,PG,34,LAL,2,0,20.5,1.5,4,0.375,1.5,3.5,0.429,0,0.5,0,0.563,0,0,0,0.5,1,1.5,5,1.5,0,0.5,1,4.5
20,Deni Avdija,SF,21,WAS,63,6,23.5,2.8,6.3,0.44,0.9,2.8,0.313,1.9,3.5,0.543,0.51,1.2,1.5,0.781,0.7,4.5,5.1,1.7,0.8,0.6,0.9,2.3,7.7
21,Joel Ayayi,SG,21,WAS,7,0,2.9,0.1,0.9,0.167,0,0.1,0,0.1,0.7,0.2,0.167,0,0,0,0.1,0.3,0.4,0.6,0,0,0,0,0.3
22,Deandre Ayton,C,23,PHO,43,43,29.4,7.3,11.5,0.641,0.1,0.3,0.385,7.2,11.2,0.648,0.646,1.8,2.5,0.713,2.4,7.3,9.7,1.4,0.8,0.8,1.6,2.3,16.6
23,Udoka Azubuike,C,22,UTA,16,6,11.6,2.1,2.9,0.739,0,0,0,2.1,2.9,0.739,0.739,0.4,0.7,0.545,1.1,3.1,4.3,0,0.1,0.7,0.8,1.4,4.6
24,Marvin Bagley III,PF,22,TOT,35,17,21.9,4.1,8.6,0.475,0.5,2,0.229,3.6,6.6,0.55,0.502,1.1,1.7,0.678,2.3,4.7,7,0.6,0.3,0.3,0.7,1.7,9.8
24,Marvin Bagley III,PF,22,SAC,30,17,21.9,3.8,8.2,0.463,0.5,2.1,0.242,3.3,6.1,0.538,0.494,1.2,1.6,0.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3
24,Marvin Bagley III,PF,22,DET,5,0,22.2,5.8,11,0.527,0.2,1.6,0.125,5.6,9.4,0.596,0.536,1,2.4,0.417,2.4,3.6,6,0.6,0.6,0.2,0.4,1.6,12.8
25,LaMelo Ball,PG,20,CHO,58,58,32.2,7,16.8,0.418,2.7,7.2,0.37,4.3,9.5,0.454,0.497,3,3.5,0.866,1.6,5.3,6.9,7.3,1.5,0.4,3.2,3.2,19.7
26,Lonzo Ball,PG,24,CHI,35,35,34.6,4.6,10.9,0.423,3.1,7.4,0.423,1.5,3.5,0.423,0.567,0.6,0.8,0.75,1,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13
27,Mo Bamba,C,23,ORL,54,52,26.1,4.1,8.5,0.476,1.3,3.6,0.345,2.8,4.9,0.574,0.55,0.9,1,0.821,2.1,5.8,7.9,1.2,0.6,1.8,1.2,2.6,10.2
28,Desmond Bane,SF,23,MEM,62,62,30.2,6.6,14.5,0.455,2.9,7,0.412,3.7,7.5,0.495,0.554,1.7,1.9,0.907,0.5,3.9,4.4,2.5,1.1,0.4,1.5,2.6,17.8
29,Dalano Banton,SF,22,TOR,54,1,11.4,1.4,3.4,0.405,0.2,0.9,0.265,1.1,2.5,0.456,0.441,0.4,0.6,0.629,0.6,1.4,2,1.5,0.5,0.2,0.9,1.1,3.4
30,Cat Barber,PG,27,ATL,3,0,4.3,0,1.3,0,0,0,0,0,1.3,0,0,0,1.3,0,0.3,0.7,1,1,0,0,0.3,0.3,0
31,Harrison Barnes,PF,29,SAC,61,61,33.9,5.2,11,0.47,2,4.7,0.416,3.2,6.4,0.51,0.559,4.9,5.9,0.832,1.1,4.8,6,2.5,0.8,0.2,1.6,1.2,17.2
32,Scottie Barnes,PF,20,TOR,56,56,35.4,6,12.3,0.487,0.8,2.6,0.306,5.2,9.7,0.535,0.519,2.2,3,0.734,2.6,5,7.6,3.3,1.1,0.8,1.9,2.6,14.9
33,RJ Barrett,SF,21,NYK,53,53,33.6,6.6,16.1,0.412,2,5.7,0.354,4.6,10.4,0.444,0.475,3.7,5.3,0.7,0.8,4.9,5.8,2.8,0.5,0.3,2.1,2.1,19
34,Will Barton,SG,31,DEN,57,57,31.8,5.6,12.8,0.439,2.2,6.1,0.357,3.4,6.7,0.513,0.524,1.5,1.9,0.792,0.6,4.3,4.9,3.8,0.8,0.5,1.8,1.5,14.8
35,Paris Bass,SF,26,PHO,2,0,3.5,1,3,0.333,0,1,0,1,2,0.5,0.333,1,1,1,1,1,2,0,0.5,0,1,1,3
